ISIN,Company,LEVEL2 SECTOR NAME,LEVEL3 SECTOR NAME,LEVEL4 SECTOR NAME,LEVEL5 SECTOR NAME,GEOGRAPHIC DESCR.,TotalValue,EV,SUPPLIERCOSTS
BREQTLACNOR0,EQUATORIAL ON,Utilities,Utilities,Electricity,Conv. Electricity,BRAZIL,"18,328,793,000","16,802,182,350","4,577,528,968"
SA000A0HNF36,YANBU NAT.PETROCH.,Basic Materials,Chemicals,Chemicals,Chemicals: Divers.,SAUDI ARABIA,"3,759,043,000","4,271,024,630","1,216,736,894"
SA0007879139,SABIC AGRI- NUTRIENTS,Basic Materials,Chemicals,Chemicals,Fertilizers,SAUDI ARABIA,"6,791,575,000","11,903,180,470","2,184,659,490"
CNE0000011B7,SHAI.PUDONG DEV.BK. 'A',Financials,Banks,Banks,Banks,CHINA,"1,285,967,624,000",NA,"27,923,568,894"
CNE000001ND1,POLY DEVELOPMENTS AND HOLDINGS GROUP 'A',Real Estate,Real Estate,Real Estate Inv & Svs,"Real Estate Hold, Dev",CHINA,"180,478,069,000","53,897,364,310","32,203,846,862"
CNE0000014G0,ANGEL YEAST 'A',Consumer Staples,"Food, Bev. and Tobacc",Food Producers,Food Products,CHINA,"2,965,135,000","5,328,711,860","1,575,802,091"
CNE000000PY4,YUTONG BUS 'A',Industrials,Ind. Goods & Services,Ind. Transportation,"Comm. Vehicles, Parts",CHINA,"4,159,435,000","7,604,908,450","2,975,837,984"
CNE000000T18,CHIN.NTHN.RA.ETH. (GROUP) HTEC.'A',Basic Materials,Basic Resources,Ind. Metals & Mining,General Mining,CHINA,"6,148,222,000","15,969,234,890","3,466,293,525"
TH0128B10Z09,MINOR INTERNATIONAL,Consumer Discretion,Travel & Leisure,Travel & Leisure,Hotels & Motels,THAILAND,"9,928,401,000","9,403,105,180","2,700,555,589"
MYL6742OO000,YTL POWER INTERNATIONAL,Utilities,Utilities,"Gas, Water & Mul Util",Multi-Utilities,MALAYSIA,"17,761,193,000","15,622,235,980","3,618,819,860"
CNE0000013Y5,SHANXI XISHAN C&ELY.PWR. 'A',Energy,Energy,"Oil, Gas and Coal",Coal,CHINA,"14,969,485,000","7,982,537,530","4,439,849,243"
KR7017670001,SK TELECOM,Telecommunications,Telecommunications,Telecom. Svs. Prvds.,Telecom. Services,SOUTH KOREA,"20,728,359,000","11,872,525,370","6,091,294,115"
KR7000810002,SAMSUNG FIRE & MAR.IN.,Financials,Insurance,Non-life Insurance,Prop. & Casualty Ins.,SOUTH KOREA,"59,267,621,000",NA,"7,735,477,365"
TW0001303006,NAN YA PLASTICS,Basic Materials,Chemicals,Chemicals,Chemicals: Divers.,TAIWAN,"18,759,113,000","8,506,551,500","5,876,438,293"
